Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/Page_DEMOQA/select_JanuaryFebruaryMarchAprilMayJuneJuly_566629""), ""7"", true)",Chrome 134.0.6998.37,,,13-03-2025 11:35:10,13-03-2025 11:35:11,1.086s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_DEMOQA/select_190019011902190319041905190619071908_246ee1""), ""2000"", true)",Chrome 134.0.6998.37,,,13-03-2025 11:35:11,13-03-2025 11:35:15,3.888s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_31""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:15,13-03-2025 11:35:15,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Subjects_subjects-auto-complete__value-_d244cf""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:15,13-03-2025 11:35:15,0.292s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Subjects_subjectsInput""), """")",Chrome 134.0.6998.37,,,13-03-2025 11:35:15,13-03-2025 11:35:16,0.734s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/input_Subjects_subjectsInput""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:16,13-03-2025 11:35:16,0.293s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Subjects_subjects-auto-complete__value-_d244cf""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:16,13-03-2025 11:35:17,0.291s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Subjects_subjects-auto-complete__value-_d244cf""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:17,13-03-2025 11:35:17,0.281s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Subjects_subjectsInput""), ""s"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:17,13-03-2025 11:35:17,0.518s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_English""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:17,13-03-2025 11:35:18,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Sports""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:18,13-03-2025 11:35:19,0.511s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), ""PONDOK BAMBU"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:19,13-03-2025 11:35:19,0.541s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Select State""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:19,13-03-2025 11:35:21,2.413s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_NCR""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:21,13-03-2025 11:35:22,0.510s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:22,13-03-2025 11:35:23,0.529s,PASSED
closeBrowser(),Chrome 134.0.6998.37,,,13-03-2025 11:35:23,13-03-2025 11:35:23,0.204s,PASSED
,,,,,,,
Test Cases/DemoQA Form,Chrome 134.0.6998.37,,,13-03-2025 11:35:23,13-03-2025 11:35:34,11.569s,PASSED
"openBrowser("""")",Chrome 134.0.6998.37,,,13-03-2025 11:35:23,13-03-2025 11:35:24,0.886s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:24,13-03-2025 11:35:27,3.823s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:27,13-03-2025 11:35:28,1.001s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:28,13-03-2025 11:35:30,1.524s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), ""Yusuf Rangkuti"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:30,13-03-2025 11:35:32,2.185s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""rangkuti289@gmail.com"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:32,13-03-2025 11:35:33,0.552s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), ""VILLA PADURENAN INDAH 3 "")",Chrome 134.0.6998.37,,,13-03-2025 11:35:33,13-03-2025 11:35:33,0.541s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), ""VILLA PADURENAN INDAH 3 "")",Chrome 134.0.6998.37,,,13-03-2025 11:35:33,13-03-2025 11:35:34,0.543s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:34,13-03-2025 11:35:34,0.298s,PASSED
closeBrowser(),Chrome 134.0.6998.37,,,13-03-2025 11:35:34,13-03-2025 11:35:34,0.151s,PASSED
